towerId,towerName,stageId,stageLabel,tierA,tierB,map,difficulty,won,finalWave,targetWaves,progressPct,livesLeft,startingLives,corePct,leaks,cashEarned,towersBuilt,totalDamage,firstLeakWave,worstWave,worstPressure
pulse,Pulse Turret,base,Base,0,0,orbital,normal,false,30,60,0.5,0,120,0,122,17099,104,7662,14,30,1
pulse,Pulse Turret,a2,A2,2,0,orbital,normal,false,24,60,0.4,0,120,0,120,8096,30,3536,13,24,1
pulse,Pulse Turret,b2,B2,0,2,orbital,normal,false,30,60,0.5,0,120,0,123,16823,63,7564,13,30,1
pulse,Pulse Turret,a4,A4,4,0,orbital,normal,false,24,60,0.4,0,120,0,123,8098,30,3527,13,24,1
pulse,Pulse Turret,b4,B4,0,4,orbital,normal,false,30,60,0.5,0,120,0,123,16750,62,7564,13,30,1
pulse,Pulse Turret,split44,Split 4/4,4,4,orbital,normal,false,24,60,0.4,0,120,0,120,8117,23,3583,13,24,1
pulse,Pulse Turret,a6,A6,6,0,orbital,normal,false,24,60,0.4,0,120,0,120,8123,30,3551,13,24,1
pulse,Pulse Turret,b6,B6,0,6,orbital,normal,false,30,60,0.5,0,120,0,121,16849,63,7636,13,30,1
pulse,Pulse Turret,a6b4,A6+B4,6,4,orbital,normal,false,30,60,0.5,0,120,0,120,16719,45,7587,13,30,1
pulse,Pulse Turret,a4b6,A4+B6,4,6,orbital,normal,false,24,60,0.4,0,120,0,120,7972,23,3481,13,24,1
tesla,Tesla Coil,base,Base,0,0,orbital,normal,false,30,60,0.5,0,120,0,120,16912,62,8102,14,30,1
tesla,Tesla Coil,a2,A2,2,0,orbital,normal,false,30,60,0.5,0,120,0,122,16811,29,8156,14,30,1
tesla,Tesla Coil,b2,B2,0,2,orbital,normal,false,30,60,0.5,0,120,0,124,16773,28,7732,11,30,1
tesla,Tesla Coil,a4,A4,4,0,orbital,normal,false,30,60,0.5,0,120,0,124,17235,29,8380,14,30,1
tesla,Tesla Coil,b4,B4,0,4,orbital,normal,false,30,60,0.5,0,120,0,122,16250,26,7773,11,30,1
tesla,Tesla Coil,split44,Split 4/4,4,4,orbital,normal,false,30,60,0.5,0,120,0,124,16898,18,8218,14,30,1
tesla,Tesla Coil,a6,A6,6,0,orbital,normal,false,30,60,0.5,0,120,0,122,17147,29,8349,14,30,1
tesla,Tesla Coil,b6,B6,0,6,orbital,normal,false,30,60,0.5,0,120,0,121,16263,26,7761,11,30,1
tesla,Tesla Coil,a6b4,A6+B4,6,4,orbital,normal,false,30,60,0.5,0,120,0,124,16915,18,8242,14,30,1
tesla,Tesla Coil,a4b6,A4+B6,4,6,orbital,normal,false,30,60,0.5,0,120,0,124,16753,18,8155,14,30,1
cryo,Cryo Emitter,base,Base,0,0,orbital,normal,false,6,60,0.1,0,120,0,120,255,2,0,1,6,1
cryo,Cryo Emitter,a2,A2,2,0,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
cryo,Cryo Emitter,b2,B2,0,2,orbital,normal,false,22,60,0.3667,0,120,0,121,6021,10,2798,1,22,1
cryo,Cryo Emitter,a4,A4,4,0,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
cryo,Cryo Emitter,b4,B4,0,4,orbital,normal,false,22,60,0.3667,0,120,0,120,6220,10,2935,1,22,1
cryo,Cryo Emitter,split44,Split 4/4,4,4,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
cryo,Cryo Emitter,a6,A6,6,0,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
cryo,Cryo Emitter,b6,B6,0,6,orbital,normal,false,22,60,0.3667,0,120,0,120,6198,10,2921,1,22,1
cryo,Cryo Emitter,a6b4,A6+B4,6,4,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
cryo,Cryo Emitter,a4b6,A4+B6,4,6,orbital,normal,false,6,60,0.1,0,120,0,120,255,1,0,1,6,1
rail,Railgun Post,base,Base,0,0,orbital,normal,false,30,60,0.5,0,120,0,122,17337,42,8912,14,30,1
rail,Railgun Post,a2,A2,2,0,orbital,normal,false,41,60,0.6833,0,120,0,121,56051,65,38135,20,41,1
rail,Railgun Post,b2,B2,0,2,orbital,normal,false,41,60,0.6833,0,120,0,122,57319,68,40724,40,41,1
rail,Railgun Post,a4,A4,4,0,orbital,normal,false,42,60,0.7,0,120,0,120,63268,57,50575,40,42,1
rail,Railgun Post,b4,B4,0,4,orbital,normal,false,41,60,0.6833,0,120,0,120,56060,66,39810,40,41,1
rail,Railgun Post,split44,Split 4/4,4,4,orbital,normal,false,41,60,0.6833,0,120,0,123,55835,37,38580,7,41,1
rail,Railgun Post,a6,A6,6,0,orbital,normal,false,42,60,0.7,0,120,0,121,62056,58,48513,41,42,1
rail,Railgun Post,b6,B6,0,6,orbital,normal,false,45,60,0.75,0,120,0,122,75768,88,71643,40,45,1
rail,Railgun Post,a6b4,A6+B4,6,4,orbital,normal,false,42,60,0.7,0,120,0,123,63412,38,50516,7,42,1
rail,Railgun Post,a4b6,A4+B6,4,6,orbital,normal,false,41,60,0.6833,0,120,0,120,56226,36,39072,7,41,1
missile,Missile Battery,base,Base,0,0,orbital,normal,false,24,60,0.4,0,120,0,120,7625,15,5230,4,24,1
missile,Missile Battery,a2,A2,2,0,orbital,normal,false,30,60,0.5,0,120,0,121,17667,17,11548,5,30,1
missile,Missile Battery,b2,B2,0,2,orbital,normal,false,14,60,0.2333,0,120,0,120,2077,2,2761,5,14,1
missile,Missile Battery,a4,A4,4,0,orbital,normal,false,21,60,0.35,0,120,0,120,5063,4,4055,5,21,1
missile,Missile Battery,b4,B4,0,4,orbital,normal,false,12,60,0.2,0,120,0,122,1478,1,2020,5,12,1
missile,Missile Battery,split44,Split 4/4,4,4,orbital,normal,false,19,60,0.3167,0,120,0,121,3756,2,4864,7,19,1
missile,Missile Battery,a6,A6,6,0,orbital,normal,false,24,60,0.4,0,120,0,120,7998,6,5395,5,24,1
missile,Missile Battery,b6,B6,0,6,orbital,normal,false,12,60,0.2,0,120,0,121,1504,2,2063,5,12,1
missile,Missile Battery,a6b4,A6+B4,6,4,orbital,normal,false,20,60,0.3333,0,120,0,120,4364,3,5600,7,20,1
missile,Missile Battery,a4b6,A4+B6,4,6,orbital,normal,false,21,60,0.35,0,120,0,123,5081,2,6449,7,21,1
drone,Drone Carrier,base,Base,0,0,orbital,normal,false,17,60,0.2833,0,120,0,121,2947,6,1541,3,17,1
drone,Drone Carrier,a2,A2,2,0,orbital,normal,false,13,60,0.2167,0,120,0,121,1854,2,1023,3,13,1
drone,Drone Carrier,b2,B2,0,2,orbital,normal,false,14,60,0.2333,0,120,0,120,2101,2,1179,3,14,1
drone,Drone Carrier,a4,A4,4,0,orbital,normal,false,50,60,0.8333,0,120,0,129,101729,60,115301,3,50,1
drone,Drone Carrier,b4,B4,0,4,orbital,normal,false,13,60,0.2167,0,120,0,120,1879,2,1064,3,13,1
drone,Drone Carrier,split44,Split 4/4,4,4,orbital,normal,false,11,60,0.1833,0,120,0,121,1255,1,698,3,11,1
drone,Drone Carrier,a6,A6,6,0,orbital,normal,false,50,60,0.8333,0,120,0,122,102050,60,116067,3,50,1
drone,Drone Carrier,b6,B6,0,6,orbital,normal,false,13,60,0.2167,0,120,0,120,1892,2,1075,4,13,1
